ID,Sex,Age,Group,GH,M1X,M1Y,M1Z,M2X,M2Y,M2Z,M3X,M3Y,M3Z,R1X,R1Y,R1Z,L1X,L1Y,L1Z,R2X,R2Y,R2Z,L2X,L2Y,L2Z,R3X,R3Y,R3Z,L3X,L3Y,L3Z,R4X,R4Y,R4Z,L4X,L4Y,L4Z,R5X,R5Y,R5Z,L5X,L5Y,L5Z,R6X,R6Y,R6Z,L6X,L6Y,L6Z,M4X,M4Y,M4Z,R7X,R7Y,R7Z,L7X,L7Y,L7Z,R8X,R8Y,R8Z,L8X,L8Y,L8Z,M5X,M5Y,M5Z,M6X,M6Y,M6Z,R9X,R9Y,R9Z,L9X,L9Y,L9Z,R11X,R11Y,R11Z,L11X,L11Y,L11Z,R12X,R12Y,R12Z,L12X,L12Y,L12Z,R13X,R13Y,R13Z,L13X,L13Y,L13Z,M7X,M7Y,M7Z,M8X,M8Y,M8Z,R14X,R14Y,R14Z,L14X,L14Y,L14Z
A20,F,21,A,Sufficient,1.74052,1.00935,2.06389,1.76554,1.2143,2.07169,1.73419,1.39584,1.81022,2.36322,1.64174,1.74892,1.09321,1.70769,1.71491,2.87424,1.64971,1.07423,0.747138,1.73979,1.12657,3.25981,1.36883,1.52889,0.312893,1.42915,1.48806,2.85283,1.82247,2.46742,0.601324,1.85715,2.3606,2.45948,2.11907,3.61621,0.90744,2.19462,3.55296,2.98359,1.79356,3.41054,0.365304,1.9308,3.22943,1.70582,1.94733,3.43872,2.08692,2.55487,1.90051,1.42229,2.58564,1.87585,2.14372,2.74926,2.34313,1.47447,2.73481,2.26171,1.79233,2.32758,1.33818,1.77289,3.33487,1.30953,2.63003,2.64874,1.36274,0.951957,2.74528,1.32818,2.89005,2.36392,1.4291,0.653646,2.37079,1.43246,2.91926,2.47208,2.60106,0.543474,2.54079,2.65236,2.89062,2.75554,2.45974,0.621042,2.77914,2.41432,1.74829,2.85365,3.06451,1.74076,3.9318,2.81582,2.57821,3.30914,2.98521,0.9532,3.31117,2.95728
A20,F,28,A,Sufficient,2.3794,1.30761,1.72087,2.47928,1.65031,1.80463,2.52506,1.89267,1.57442,3.15618,2.07212,1.50006,1.99668,2.37117,1.61549,3.56242,1.99642,0.711514,1.51925,2.46396,0.904421,4.01676,1.44586,1.08202,0.91353,2.17651,1.33249,3.8074,2.08136,2.27508,1.54246,2.58682,2.41619,3.63096,2.48832,3.7334,2.03837,2.81428,3.88289,4.08734,1.92293,3.39237,1.42328,2.55006,3.62969,2.7677,2.47055,3.52346,3.15069,3.04178,1.81924,2.49345,3.19894,1.85028,3.23635,3.18867,2.29791,2.54783,3.33089,2.33422,2.68337,2.86721,1.11908,2.93429,3.94497,1.21427,3.61773,3.08811,1.08605,1.89398,3.45894,1.20862,3.83095,2.65725,1.14689,1.56165,3.16157,1.41122,4.07206,2.71514,2.559,1.62311,3.36071,3.00016,3.97589,3.02755,2.43917,1.86847,3.50763,2.67273,3.01135,3.37054,3.31905,3.23353,4.53624,3.09585,3.99432,3.59676,3.20647,2.26637,4.16601,3.38736
A20,F,60,A,Sufficient,2.24507,0.740604,0.881243,2.47657,1.31028,1.21245,2.53569,1.60665,0.983618,3.1024,1.91652,1.15362,2.05238,2.14772,1.17752,3.72941,1.90228,0.0724117,1.49972,2.3121,0.0530335,4.199,1.12414,0.529979,0.759826,1.74544,0.559492,3.75895,1.72888,2.16321,1.38227,2.22381,2.15032,3.30564,2.10705,3.94406,1.85148,2.3897,3.89839,4.04258,1.37294,3.59435,0.945696,1.95291,3.48149,2.5587,2.09339,3.47567,3.16722,2.90893,1.64549,2.45073,3.03479,1.59583,3.20435,2.97109,2.35514,2.43229,3.07998,2.2741,2.7434,2.80414,0.652753,2.97256,4.04397,0.950713,3.71816,2.91028,0.765272,1.79433,3.21699,0.721877,3.99511,2.71278,0.83822,1.44012,3.08819,0.932527,4.05988,2.46683,2.81289,1.32883,2.95398,3.10698,3.91556,2.86516,2.63602,1.60579,3.23722,2.70516,2.75807,3.07779,3.57131,3.00325,4.47909,3.54607,3.91672,3.44372,3.6348,1.86947,3.74632,3.63898
A24,M,21,A,Sufficient,2.19615,1.63171,1.87022,2.23954,1.86236,1.87534,2.22506,2.04664,1.7283,2.8517,2.22348,1.61049,1.65263,2.33987,1.70877,3.25966,2.28616,0.886484,1.17107,2.45431,1.10005,3.75536,1.96973,1.20516,0.787803,2.17327,1.47556,3.42459,2.39557,2.1698,1.17495,2.65083,2.2947,3.13993,2.72815,3.4574,1.71391,2.9846,3.67628,3.66193,2.41664,3.06175,1.07955,2.71794,3.33491,2.4338,2.67971,3.39382,2.67144,3.26493,1.83903,2.06093,3.32444,1.92606,2.77482,3.44852,2.34897,2.06995,3.46913,2.27103,2.28357,3.03518,1.3002,2.38352,3.99349,1.24855,3.22537,3.23497,1.23464,1.52216,3.41046,1.3003,3.41829,2.99683,1.2467,1.25441,3.11415,1.37605,3.5356,3.10791,2.36017,1.23714,3.34317,2.56032,3.47507,3.36044,2.28997,1.34646,3.54274,2.45636,2.46181,3.56634,2.9762,2.54683,4.63346,2.68465,3.31933,3.94503,2.84504,1.63379,4.12731,2.90182
A24,M,28,A,Sufficient,2.23353,1.48589,1.66599,2.36261,1.93254,1.76099,2.42543,2.16083,1.62189,3.03904,2.26365,1.58062,2.01048,2.64751,1.67277,3.44345,2.18455,0.756044,1.61003,2.73708,1.08426,3.89435,1.56041,0.938423,0.901409,2.54427,1.47004,3.76603,2.19931,2.19986,1.57812,2.98741,2.49959,3.70427,2.60831,3.76913,2.27308,3.13274,3.93464,4.01812,2.05041,3.38618,1.46376,2.97092,3.67612,2.82976,2.73447,3.59846,3.20341,3.23714,1.79666,2.55276,3.47886,1.98034,3.35322,3.44704,2.52169,2.65889,3.60468,2.44933,2.69652,3.17042,1.14809,3.00561,4.17559,1.25318,3.61473,3.21881,1.12702,2.01973,3.73174,1.26913,3.85874,2.85618,1.19863,1.65044,3.56037,1.44247,4.10557,2.87485,2.57818,1.77105,3.70593,2.93567,3.97595,3.1526,2.46449,2.02375,3.86477,2.74089,3.10538,3.62306,3.328,3.44617,4.74278,3.17614,4.13812,3.84159,3.24836,2.42903,4.50921,3.46524
A24,M,35,A,Sufficient,2.34673,0.852095,1.14682,2.51542,1.54313,1.25517,2.5194,1.81773,1.15473,3.02856,2.09304,1.19422,1.97721,2.18893,1.14945,3.61002,2.11007,0.261654,1.59078,2.34305,0.448403,4.20297,1.53552,0.51125,0.834518,1.76464,0.567796,3.79653,2.12606,2.02229,1.38992,2.35278,2.10502,3.42885,2.41008,3.74294,1.87353,2.58288,3.80199,3.96895,1.95215,3.25907,1.13904,2.2748,3.33049,2.61762,2.41853,3.38657,2.99859,3.10485,1.66969,2.36633,3.18318,1.80177,3.07719,3.26432,2.36181,2.33484,3.28818,2.25831,2.64142,2.90167,0.737452,2.73904,4.08705,0.929065,3.6126,3.21126,0.799001,1.69955,3.43248,0.858706,3.91144,2.94288,0.923288,1.34383,3.08205,0.932415,3.91686,2.89653,2.62718,1.40483,3.24384,2.65421,3.82482,3.17868,2.52334,1.57188,3.38512,2.59,2.76466,3.41513,3.33843,2.84265,4.68883,3.20025,3.78897,3.86609,3.31854,1.74719,4.0639,3.39757
A24,M,45,A,Sufficient,3.30123,1.05959,0.9869,3.26459,1.92374,1.24255,3.19135,2.17384,1.12317,3.6029,2.601,1.23145,2.65062,2.4923,1.15609,4.0674,2.71401,0.411282,2.40081,2.49598,0.424713,5.09328,2.24804,0.642527,1.58677,1.58719,0.319055,4.23459,2.78401,2.19063,1.8794,2.46801,2.04989,3.596,2.94966,3.93563,2.1378,2.91249,3.93086,4.39321,2.53181,3.56027,1.51401,2.20941,3.44799,2.9433,2.74688,3.45057,3.2761,3.72463,1.83724,2.63799,3.58472,1.82458,3.23825,3.81061,2.23436,2.5474,3.66774,2.20136,3.10119,3.3168,0.733418,2.84945,4.52228,0.855335,3.93247,3.84264,0.764222,1.99688,3.5409,0.699132,4.31898,3.71008,0.955882,1.82902,3.22537,0.810868,4.2712,3.63788,2.93708,1.53394,3.28377,2.7523,4.04932,3.87804,2.74294,1.77814,3.5197,2.5337,2.8673,3.83037,3.49753,2.64954,5.10815,3.29776,3.82621,4.63367,3.5817,1.59358,4.25117,3.38896
A24,M,60,A,Sufficient,3.13263,0.939402,0.83592,3.07665,1.82387,1.13093,3.03458,2.20528,1.01546,3.46893,2.60148,1.08876,2.48809,2.50543,1.0217,3.93378,2.68145,0.233724,2.22267,2.53293,0.231223,4.91119,2.1162,0.426441,1.3641,1.63252,0.323712,4.10345,2.81091,2.01737,1.72923,2.54082,1.90202,3.53574,3.13218,3.87218,1.98858,2.95184,3.89072,4.31699,2.49323,3.49122,1.27693,2.22125,3.41277,2.84023,2.77895,3.36397,3.18111,3.64014,1.56099,2.48913,3.6122,1.63155,3.1192,3.80336,2.43338,2.41847,3.66384,2.16021,2.93562,3.36757,0.510282,2.79117,4.57891,0.732323,3.84202,3.81304,0.636287,1.89106,3.55366,0.576563,4.08887,3.67707,0.786311,1.69877,3.29194,0.674051,4.12716,3.60197,2.8439,1.44451,3.35625,2.72161,3.97431,3.87313,2.5752,1.66749,3.55714,2.50422,2.68455,3.85172,3.42166,2.5372,5.22785,3.27193,3.70562,4.61309,3.57046,1.48609,4.323,3.43976
A26,F,21,A,Sufficient,2.63249,1.44445,1.88605,2.63669,1.63219,1.85777,2.61883,1.75819,1.73246,3.27705,2.02557,1.5246,2.0077,2.17884,1.69129,3.59292,1.96364,0.886456,1.5307,2.27282,1.14655,4.08246,1.54895,1.17772,1.09254,2.02277,1.61106,3.96358,2.11907,2.05442,1.57802,2.45906,2.36161,3.7944,2.43843,3.35375,2.16612,2.74793,3.59179,4.17695,2.0684,3.00717,1.60209,2.53056,3.37988,2.93184,2.42323,3.28952,3.21926,2.99303,1.7939,2.55026,3.0594,1.80592,3.34657,3.15226,2.24879,2.57572,3.21768,2.18909,2.76774,2.77647,1.1779,2.92012,3.7115,1.13162,3.60858,3.00887,1.07649,2.06627,3.22812,1.22894,3.96094,2.63039,1.10004,1.61107,2.97155,1.39519,4.06047,2.73178,2.2445,1.68724,3.14031,2.60679,4.02087,2.93051,2.19603,1.81951,3.31241,2.43678,3.01693,3.31894,2.90865,3.19356,4.30845,2.56969,3.91878,3.64243,2.71325,2.2336,3.87878,2.8228
A26,F,28,A,Sufficient,2.39286,1.4175,1.8997,2.43232,1.8206,1.93874,2.43917,2.00631,1.80801,3.03099,2.41135,1.71653,1.82723,2.37263,1.86252,3.30072,2.35419,0.952242,1.30303,2.47268,1.20619,3.96086,1.79504,1.2164,0.693075,1.93152,1.61917,3.75313,2.49645,2.35861,1.23745,2.61549,2.61897,3.4396,2.85336,3.84755,2.02402,2.88961,3.96908,4.02004,2.38549,3.38648,1.29892,2.58012,3.83324,2.62038,2.74574,3.72139,2.88875,3.35929,2.11006,2.17057,3.33612,2.10829,3.00111,3.49199,2.63988,2.21798,3.49632,2.53953,2.4605,3.05431,1.23636,2.55596,4.17616,1.36001,3.34638,3.32598,1.24454,1.61171,3.40116,1.39153,3.68576,3.06294,1.28751,1.30448,3.09967,1.56601,3.88072,3.2407,2.68657,1.31671,3.40191,3.17769,3.76281,3.49884,2.63681,1.45461,3.53534,2.84916,2.66783,3.6495,3.47267,2.75213,4.81746,3.17607,3.63896,4.20166,3.38793,1.74439,4.24811,3.55736
