"ID","Sex","Group","vertebra","Age","rep","M1X","M1Y","M1Z","M2X","M2Y","M2Z","M3X","M3Y","M3Z","R1X","R1Y","R1Z","L1X","L1Y","L1Z","R2X","R2Y","R2Z","L2X","L2Y","L2Z","R3X","R3Y","R3Z","L3X","L3Y","L3Z","R4X","R4Y","R4Z","L4X","L4Y","L4Z","R5X","R5Y","R5Z","L5X","L5Y","L5Z","R6X","R6Y","R6Z","L6X","L6Y","L6Z","M4X","M4Y","M4Z","R7X","R7Y","R7Z","L7X","L7Y","L7Z","R8X","R8Y","R8Z","L8X","L8Y","L8Z","M5X","M5Y","M5Z","M6X","M6Y","M6Z","R9X","R9Y","R9Z","L9X","L9Y","L9Z","R10X","R10Y","R10Z","L10X","L10Y","L10Z","R11X","R11Y","R11Z","L11X","L11Y","L11Z","R12X","R12Y","R12Z","L12X","L12Y","L12Z","R13X","R13Y","R13Z","L13X","L13Y","L13Z","M7X","M7Y","M7Z","M8X","M8Y","M8Z","R14X","R14Y","R14Z","L14X","L14Y","L14Z"
"A20","F","A","L4",21,2,1.74052,1.00935,2.06389,1.76554,1.2143,2.07169,1.73419,1.39584,1.81022,2.36322,1.64174,1.74892,1.09321,1.70769,1.71491,2.87424,1.64971,1.07423,0.747138,1.73979,1.12657,3.25981,1.36883,1.52889,0.312893,1.42915,1.48806,2.85283,1.82247,2.46742,0.601324,1.85715,2.3606,2.45948,2.11907,3.61621,0.90744,2.19462,3.55296,2.98359,1.79356,3.41054,0.365304,1.9308,3.22943,1.70582,1.94733,3.43872,2.08692,2.55487,1.90051,1.42229,2.58564,1.87585,2.14372,2.74926,2.34313,1.47447,2.73481,2.26171,1.79233,2.32758,1.33818,1.77289,3.33487,1.30953,2.63003,2.64874,1.36274,0.951957,2.74528,1.32818,3.17954,2.89402,0.886069,0.470751,2.80861,0.915287,2.89005,2.36392,1.4291,0.653646,2.37079,1.43246,2.91926,2.47208,2.60106,0.543474,2.54079,2.65236,2.89062,2.75554,2.45974,0.621042,2.77914,2.41432,1.74829,2.85365,3.06451,1.74076,3.9318,2.81582,2.57821,3.30914,2.98521,0.9532,3.31117,2.95728
"A20","F","A","L4",60,2,2.24507,0.740604,0.881243,2.47657,1.31028,1.21245,2.53569,1.60665,0.983618,3.1024,1.91652,1.15362,2.05238,2.14772,1.17752,3.72941,1.90228,0.0724117,1.49972,2.3121,0.0530335,4.199,1.12414,0.529979,0.759826,1.74544,0.559492,3.75895,1.72888,2.16321,1.38227,2.22381,2.15032,3.30564,2.10705,3.94406,1.85148,2.3897,3.89839,4.04258,1.37294,3.59435,0.945696,1.95291,3.48149,2.5587,2.09339,3.47567,3.16722,2.90893,1.64549,2.45073,3.03479,1.59583,3.20435,2.97109,2.35514,2.43229,3.07998,2.2741,2.7434,2.80414,0.652753,2.97256,4.04397,0.950713,3.71816,2.91028,0.765272,1.79433,3.21699,0.721877,4.54859,3.46072,0.0808359,1.31331,3.95767,0.0783125,3.99511,2.71278,0.83822,1.44012,3.08819,0.932527,4.05988,2.46683,2.81289,1.32883,2.95398,3.10698,3.91556,2.86516,2.63602,1.60579,3.23722,2.70516,2.75807,3.07779,3.57131,3.00325,4.47909,3.54607,3.91672,3.44372,3.6348,1.86947,3.74632,3.63898
"A20","F","A","L4",28,1,2.3794,1.30761,1.72087,2.47928,1.65031,1.80463,2.52506,1.89267,1.57442,3.15618,2.07212,1.50006,1.99668,2.37117,1.61549,3.56242,1.99642,0.711514,1.51925,2.46396,0.904421,4.01676,1.44586,1.08202,0.91353,2.17651,1.33249,3.8074,2.08136,2.27508,1.54246,2.58682,2.41619,3.63096,2.48832,3.7334,2.03837,2.81428,3.88289,4.08734,1.92293,3.39237,1.42328,2.55006,3.62969,2.7677,2.47055,3.52346,3.15069,3.04178,1.81924,2.49345,3.19894,1.85028,3.23635,3.18867,2.29791,2.54783,3.33089,2.33422,2.68337,2.86721,1.11908,2.93429,3.94497,1.21427,3.61773,3.08811,1.08605,1.89398,3.45894,1.20862,4.18283,3.18042,0.406747,1.43988,3.83501,0.768883,3.83095,2.65725,1.14689,1.56165,3.16157,1.41122,4.07206,2.71514,2.559,1.62311,3.36071,3.00016,3.97589,3.02755,2.43917,1.86847,3.50763,2.67273,3.01135,3.37054,3.31905,3.23353,4.53624,3.09585,3.99432,3.59676,3.20647,2.26637,4.16601,3.38736
"A20","F","A","L4",21,2,1.74052,1.00935,2.06389,1.76554,1.2143,2.07169,1.73419,1.39584,1.81022,2.36322,1.64174,1.74892,1.09321,1.70769,1.71491,2.87424,1.64971,1.07423,0.747138,1.73979,1.12657,3.25981,1.36883,1.52889,0.312893,1.42915,1.48806,2.85283,1.82247,2.46742,0.601324,1.85715,2.3606,2.45948,2.11907,3.61621,0.90744,2.19462,3.55296,2.98359,1.79356,3.41054,0.365304,1.9308,3.22943,1.70582,1.94733,3.43872,2.08692,2.55487,1.90051,1.42229,2.58564,1.87585,2.14372,2.74926,2.34313,1.47447,2.73481,2.26171,1.79233,2.32758,1.33818,1.77289,3.33487,1.30953,2.63003,2.64874,1.36274,0.951957,2.74528,1.32818,3.17954,2.89402,0.886069,0.470751,2.80861,0.915287,2.89005,2.36392,1.4291,0.653646,2.37079,1.43246,2.91926,2.47208,2.60106,0.543474,2.54079,2.65236,2.89062,2.75554,2.45974,0.621042,2.77914,2.41432,1.74829,2.85365,3.06451,1.74076,3.9318,2.81582,2.57821,3.30914,2.98521,0.9532,3.31117,2.95728
"A20","F","A","L4",60,2,2.24507,0.740604,0.881243,2.47657,1.31028,1.21245,2.53569,1.60665,0.983618,3.1024,1.91652,1.15362,2.05238,2.14772,1.17752,3.72941,1.90228,0.0724117,1.49972,2.3121,0.0530335,4.199,1.12414,0.529979,0.759826,1.74544,0.559492,3.75895,1.72888,2.16321,1.38227,2.22381,2.15032,3.30564,2.10705,3.94406,1.85148,2.3897,3.89839,4.04258,1.37294,3.59435,0.945696,1.95291,3.48149,2.5587,2.09339,3.47567,3.16722,2.90893,1.64549,2.45073,3.03479,1.59583,3.20435,2.97109,2.35514,2.43229,3.07998,2.2741,2.7434,2.80414,0.652753,2.97256,4.04397,0.950713,3.71816,2.91028,0.765272,1.79433,3.21699,0.721877,4.54859,3.46072,0.0808359,1.31331,3.95767,0.0783125,3.99511,2.71278,0.83822,1.44012,3.08819,0.932527,4.05988,2.46683,2.81289,1.32883,2.95398,3.10698,3.91556,2.86516,2.63602,1.60579,3.23722,2.70516,2.75807,3.07779,3.57131,3.00325,4.47909,3.54607,3.91672,3.44372,3.6348,1.86947,3.74632,3.63898
"A20","F","A","L4",28,1,2.3794,1.30761,1.72087,2.47928,1.65031,1.80463,2.52506,1.89267,1.57442,3.15618,2.07212,1.50006,1.99668,2.37117,1.61549,3.56242,1.99642,0.711514,1.51925,2.46396,0.904421,4.01676,1.44586,1.08202,0.91353,2.17651,1.33249,3.8074,2.08136,2.27508,1.54246,2.58682,2.41619,3.63096,2.48832,3.7334,2.03837,2.81428,3.88289,4.08734,1.92293,3.39237,1.42328,2.55006,3.62969,2.7677,2.47055,3.52346,3.15069,3.04178,1.81924,2.49345,3.19894,1.85028,3.23635,3.18867,2.29791,2.54783,3.33089,2.33422,2.68337,2.86721,1.11908,2.93429,3.94497,1.21427,3.61773,3.08811,1.08605,1.89398,3.45894,1.20862,4.18283,3.18042,0.406747,1.43988,3.83501,0.768883,3.83095,2.65725,1.14689,1.56165,3.16157,1.41122,4.07206,2.71514,2.559,1.62311,3.36071,3.00016,3.97589,3.02755,2.43917,1.86847,3.50763,2.67273,3.01135,3.37054,3.31905,3.23353,4.53624,3.09585,3.99432,3.59676,3.20647,2.26637,4.16601,3.38736
"A20","F","A","L4",21,2,1.74052,1.00935,2.06389,1.76554,1.2143,2.07169,1.73419,1.39584,1.81022,2.36322,1.64174,1.74892,1.09321,1.70769,1.71491,2.87424,1.64971,1.07423,0.747138,1.73979,1.12657,3.25981,1.36883,1.52889,0.312893,1.42915,1.48806,2.85283,1.82247,2.46742,0.601324,1.85715,2.3606,2.45948,2.11907,3.61621,0.90744,2.19462,3.55296,2.98359,1.79356,3.41054,0.365304,1.9308,3.22943,1.70582,1.94733,3.43872,2.08692,2.55487,1.90051,1.42229,2.58564,1.87585,2.14372,2.74926,2.34313,1.47447,2.73481,2.26171,1.79233,2.32758,1.33818,1.77289,3.33487,1.30953,2.63003,2.64874,1.36274,0.951957,2.74528,1.32818,3.17954,2.89402,0.886069,0.470751,2.80861,0.915287,2.89005,2.36392,1.4291,0.653646,2.37079,1.43246,2.91926,2.47208,2.60106,0.543474,2.54079,2.65236,2.89062,2.75554,2.45974,0.621042,2.77914,2.41432,1.74829,2.85365,3.06451,1.74076,3.9318,2.81582,2.57821,3.30914,2.98521,0.9532,3.31117,2.95728
"A20","F","A","L4",60,2,2.24507,0.740604,0.881243,2.47657,1.31028,1.21245,2.53569,1.60665,0.983618,3.1024,1.91652,1.15362,2.05238,2.14772,1.17752,3.72941,1.90228,0.0724117,1.49972,2.3121,0.0530335,4.199,1.12414,0.529979,0.759826,1.74544,0.559492,3.75895,1.72888,2.16321,1.38227,2.22381,2.15032,3.30564,2.10705,3.94406,1.85148,2.3897,3.89839,4.04258,1.37294,3.59435,0.945696,1.95291,3.48149,2.5587,2.09339,3.47567,3.16722,2.90893,1.64549,2.45073,3.03479,1.59583,3.20435,2.97109,2.35514,2.43229,3.07998,2.2741,2.7434,2.80414,0.652753,2.97256,4.04397,0.950713,3.71816,2.91028,0.765272,1.79433,3.21699,0.721877,4.54859,3.46072,0.0808359,1.31331,3.95767,0.0783125,3.99511,2.71278,0.83822,1.44012,3.08819,0.932527,4.05988,2.46683,2.81289,1.32883,2.95398,3.10698,3.91556,2.86516,2.63602,1.60579,3.23722,2.70516,2.75807,3.07779,3.57131,3.00325,4.47909,3.54607,3.91672,3.44372,3.6348,1.86947,3.74632,3.63898
"A20","F","A","L4",28,1,2.3794,1.30761,1.72087,2.47928,1.65031,1.80463,2.52506,1.89267,1.57442,3.15618,2.07212,1.50006,1.99668,2.37117,1.61549,3.56242,1.99642,0.711514,1.51925,2.46396,0.904421,4.01676,1.44586,1.08202,0.91353,2.17651,1.33249,3.8074,2.08136,2.27508,1.54246,2.58682,2.41619,3.63096,2.48832,3.7334,2.03837,2.81428,3.88289,4.08734,1.92293,3.39237,1.42328,2.55006,3.62969,2.7677,2.47055,3.52346,3.15069,3.04178,1.81924,2.49345,3.19894,1.85028,3.23635,3.18867,2.29791,2.54783,3.33089,2.33422,2.68337,2.86721,1.11908,2.93429,3.94497,1.21427,3.61773,3.08811,1.08605,1.89398,3.45894,1.20862,4.18283,3.18042,0.406747,1.43988,3.83501,0.768883,3.83095,2.65725,1.14689,1.56165,3.16157,1.41122,4.07206,2.71514,2.559,1.62311,3.36071,3.00016,3.97589,3.02755,2.43917,1.86847,3.50763,2.67273,3.01135,3.37054,3.31905,3.23353,4.53624,3.09585,3.99432,3.59676,3.20647,2.26637,4.16601,3.38736
"A20","F","A","L4",21,2,1.74052,1.00935,2.06389,1.76554,1.2143,2.07169,1.73419,1.39584,1.81022,2.36322,1.64174,1.74892,1.09321,1.70769,1.71491,2.87424,1.64971,1.07423,0.747138,1.73979,1.12657,3.25981,1.36883,1.52889,0.312893,1.42915,1.48806,2.85283,1.82247,2.46742,0.601324,1.85715,2.3606,2.45948,2.11907,3.61621,0.90744,2.19462,3.55296,2.98359,1.79356,3.41054,0.365304,1.9308,3.22943,1.70582,1.94733,3.43872,2.08692,2.55487,1.90051,1.42229,2.58564,1.87585,2.14372,2.74926,2.34313,1.47447,2.73481,2.26171,1.79233,2.32758,1.33818,1.77289,3.33487,1.30953,2.63003,2.64874,1.36274,0.951957,2.74528,1.32818,3.17954,2.89402,0.886069,0.470751,2.80861,0.915287,2.89005,2.36392,1.4291,0.653646,2.37079,1.43246,2.91926,2.47208,2.60106,0.543474,2.54079,2.65236,2.89062,2.75554,2.45974,0.621042,2.77914,2.41432,1.74829,2.85365,3.06451,1.74076,3.9318,2.81582,2.57821,3.30914,2.98521,0.9532,3.31117,2.95728
